pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
GJ 3634,b,,,276.223415,25.810030,0.028700,0.001000,-0.001100,7.00000,0.90000,-0.80000,,,,0.02200,0.00350,-0.00350,,,
GJ 433,b,9.04,0.14,284.883981,27.654775,,,,6.03852,0.00000,0.00000,,,,0.01900,,,,,
GJ 436,b,10.23,0.23,210.542041,74.568904,0.028500,,,23.42310,1.71620,-1.71620,4.091,0.202,-0.202,0.07370,0.00540,-0.00540,0.365,0.018,-0.018
GJ 649,b,10.32,0.16,46.523749,35.337414,1.135000,0.035000,-0.035000,104.00000,10.00000,-10.00000,,,,0.32800,0.03200,-0.03200,,,
GJ 667C,b,,,351.839581,1.414650,0.049000,,,5.68570,0.23800,-0.23800,,,,0.01789,0.00075,-0.00075,,,
GJ 667C,c,,,351.839581,1.414650,0.123000,0.020000,-0.020000,4.54500,0.38100,-0.38100,,,,0.01430,0.00120,-0.00120,,,
GJ 674,b,4.54,0.03,343.003882,-6.777523,0.039000,,,11.09000,0.00000,0.00000,,,,0.03489,,,,,
GJ 676A,b,16.13,0.46,339.103970,-9.542696,,,,1271.26644,0.00000,0.00000,,,,4.00000,,,,,
GJ 832,b,4.94,0.03,349.172997,-46.349541,3.400000,0.400000,-0.400000,203.40263,19.06900,-19.06900,,,,0.64000,0.06000,-0.06000,,,
Gj 849,b,8.77,0.16,55.890562,-45.399081,2.350000,,,260.00000,0.00000,0.00000,,,,0.82000,,,,,
Gl 179,b,12.12,0.56,192.225850,-22.862487,2.410000,0.040000,-0.040000,260.00000,20.00000,-20.00000,,,,0.82000,0.07000,-0.07000,,,
Gl 581,b,6.27,0.09,354.077543,40.018750,0.040000,,,15.65000,0.00000,0.00000,,,,0.04924,,,,,
Gl 581,c,6.27,0.09,354.077543,40.018750,0.070000,,,5.36000,0.00000,0.00000,,,,0.01690,,,,,
Gl 581,d,6.27,0.09,354.077543,40.018750,0.220000,,,7.09000,0.00000,0.00000,,,,0.02230,,,,,
Gl 581,e,6.27,0.09,354.077543,40.018750,0.030000,,,1.94000,0.00000,0.00000,,,,0.00610,,,,,
Gl 86,b,10.91,0.07,275.926290,-61.960869,0.113000,0.006500,-0.006500,1243.00000,100.00000,-100.00000,,,,3.91000,0.32000,-0.32000,,,
Gliese 876,b,4.70,0.05,52.003955,-59.630067,0.211000,,,839.00000,0.00000,0.00000,,,,2.64000,,,,,
Gliese 876,c,4.70,0.05,52.003955,-59.630067,0.132000,,,260.00000,0.00000,0.00000,,,,0.83000,,,,,
Gliese 876,d,4.70,0.05,52.003955,-59.630067,0.021000,,,6.30000,0.00000,0.00000,,,,0.02000,,,,,
Gliese 876,e,4.70,0.05,52.003955,-59.630067,0.334300,0.001300,-0.001300,124.26000,0.70000,-0.70000,,,,0.04600,0.00500,-0.00500,,,
GQ Lup,b,,,338.925673,14.511039,,,,6830.00000,6520.00000,-6520.00000,20.000,,,21.50000,20.50000,-20.50000,1.800,,
GSC 06214-00210,b,,,355.261958,20.124738,,,,4449.43000,0.00000,0.00000,,,,14.00000,0.00000,0.00000,,,
HAT-P-11,b,36.36,1.23,81.833662,10.772474,0.053000,0.000200,-0.000800,25.74315,2.86035,-2.86035,4.730,0.112,-0.112,0.08100,0.00900,-0.00900,0.422,0.010,-0.010
HAT-P-12,b,142.50,4.20,87.991696,68.875804,0.038400,0.000300,-0.000300,66.74200,3.81400,-3.81400,10.492,0.135,-0.135,0.21000,0.01200,-0.01200,0.936,0.012,-0.012
HAT-P-13,b,214.00,12.00,172.498255,37.542172,0.042700,0.000600,-0.001200,270.46200,12.07700,-12.07700,14.258,0.729,-0.729,0.85100,0.03800,-0.03800,1.272,0.065,-0.065
HAT-P-13,c,214.00,12.00,172.498255,37.542172,1.188000,0.018000,-0.033000,4830.00000,320.00000,-320.00000,,,,15.20000,1.00000,-1.00000,,,
HAT-P-14,b,205.00,11.00,62.589094,33.537604,0.060600,0.000700,-0.000700,709.36700,18.75120,-18.75120,12.890,0.583,-0.583,2.23200,0.05900,-0.05900,1.150,0.052,-0.052
HAT-P-15,b,190.00,8.00,161.558568,-6.891566,0.096400,0.001400,-0.001400,618.47100,20.97590,-20.97590,12.016,0.482,-0.482,1.94600,0.06600,-0.06600,1.072,0.043,-0.043
HAT-P-16,b,235.00,10.00,120.346854,-20.342618,0.041300,0.000400,-0.000400,1332.61000,29.87480,-29.87480,14.448,0.740,-0.740,4.19300,0.09400,-0.09400,1.289,0.066,-0.066
HAT-P-17,b,90.00,3.00,80.852110,-16.176687,0.088200,0.001400,-0.001400,168.44300,5.72070,-5.72070,11.321,0.325,-0.325,0.53000,0.01800,-0.01800,1.010,0.029,-0.029
HAT-P-17,c,90.00,3.00,80.852110,-16.176687,2.750000,0.120000,-0.120000,444.94300,349.59800,-127.12700,,,,1.40000,1.10000,-0.40000,,,
