kepoi_name,kepler_name,glon,glat,sma,smaunc,prad,pradunc,kepoi_type
KOI 276.01,,79.998593,15.843289,0.2390,,2.49,,CANDIDATE
KOI 277.01,KEPLER-36 c,80.932759,15.102094,0.1290,,3.82,,CONFIRMED
KOI 279.01,,83.797176,13.416822,0.1830,,4.57,,CANDIDATE
KOI 279.02,,83.797176,13.416822,0.1220,,2.06,,CANDIDATE
KOI 280.01,,70.105522,14.016989,0.1010,,2.52,,CANDIDATE
KOI 281.01,,70.449315,13.347000,0.1320,,3.46,,CANDIDATE-FOP
KOI 282.01,,71.645624,13.203466,0.1760,,3.36,,CANDIDATE
KOI 282.02,,71.645624,13.203466,0.0800,,1.18,,CANDIDATE
KOI 283.01,,72.323470,13.436763,0.1260,,2.24,,CANDIDATE-FOP
KOI 284.01,,71.101731,17.266715,0.1340,,1.49,,CANDIDATE-FOP
KOI 284.02,,71.101731,17.266715,0.0670,,1.14,,CANDIDATE-FOP
KOI 284.03,,71.101731,17.266715,0.0660,,1.09,,CANDIDATE-FOP
KOI 285.01,,73.081932,13.314453,0.1180,,3.38,,CANDIDATE-FOP
KOI 288.01,,78.870677,12.315063,0.1040,,3.11,,CANDIDATE
KOI 289.01,,77.191692,19.614320,0.1750,,2.63,,CANDIDATE
KOI 291.01,,81.906944,11.139673,0.1970,,2.73,,CANDIDATE
KOI 291.02,,81.906944,11.139673,0.0800,,2.14,,CANDIDATE
KOI 292.01,,79.351213,17.256590,0.0360,,1.64,,CANDIDATE-FOP
KOI 294.01,,82.760981,10.853319,0.2020,,2.20,,CANDIDATE
KOI 295.01,,79.632570,19.167028,0.0610,,1.77,,CANDIDATE-FOP
KOI 296.01,,80.177607,19.143892,0.1820,,2.23,,CANDIDATE
KOI 297.01,,80.623723,18.476031,0.0640,,1.65,,CANDIDATE
KOI 298.01,,83.423682,16.671883,0.1390,,1.40,,CANDIDATE
KOI 299.01,,68.595000,14.253242,0.0260,,2.07,,CANDIDATE-FOP
KOI 301.01,,70.992243,11.158750,0.0690,,1.75,,CANDIDATE
KOI 302.01,,72.798694,7.592026,0.1890,,5.17,,CANDIDATE
KOI 303.01,,74.376336,10.104676,0.2940,,3.12,,CANDIDATE
KOI 304.01,,72.276094,14.603348,0.0860,,4.89,,CANDIDATE
KOI 304.02,,72.276094,14.603348,0.0640,,1.11,,CANDIDATE
KOI 305.01,,75.714844,7.678005,0.0500,,1.57,,CANDIDATE-FOP
KOI 306.01,,76.536521,6.445208,0.1610,,2.28,,CANDIDATE-FOP
KOI 307.01,,74.495384,10.582021,0.1490,,1.80,,CANDIDATE
KOI 307.02,,74.495384,10.582021,0.0610,,1.15,,CANDIDATE
KOI 308.01,,74.742802,10.077133,0.2270,,3.15,,CANDIDATE
KOI 312.01,,76.534265,8.887968,0.1070,,1.91,,CANDIDATE
KOI 312.02,,76.534265,8.887968,0.1340,,1.84,,CANDIDATE
KOI 313.01,,72.467056,18.628342,0.1340,,2.20,,CANDIDATE
KOI 313.02,,72.467056,18.628342,0.0790,,1.61,,CANDIDATE
KOI 314.01,,75.107346,13.172444,0.0920,,1.66,,CANDIDATE-FOP
KOI 314.02,,75.107346,13.172444,0.1300,,1.77,,CANDIDATE-FOP
KOI 314.03,,75.107346,13.172444,0.0760,,0.68,,CANDIDATE-FOP
KOI 315.01,,77.473474,8.730693,0.1880,,2.14,,CANDIDATE
KOI 316.01,,73.377610,18.744824,0.1260,,2.72,,CANDIDATE-FOP
KOI 316.02,,73.377610,18.744824,0.5860,,2.94,,CANDIDATE-FOP
KOI 317.01,,78.617214,8.090455,0.1690,,4.24,,CANDIDATE
KOI 318.01,,75.154604,14.959833,0.2470,,5.18,,CANDIDATE
KOI 319.01,,76.501596,14.006498,0.2690,,7.44,,CANDIDATE
