pl_hostname,pl_letter,st_dist,st_glat,st_glon,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_rade
HW Vir,c,130.72,54.159072,299.933984,,,,2701.44119,
kappa CrB,b,31.12,51.041377,57.016934,2.700000,,,572.06990,
Kepler-10,b,173.00,18.816234,80.489685,0.016840,0.000320,-0.000340,4.56000,1.416
Kepler-10,c,173.00,18.816234,80.489685,0.240700,0.004400,-0.005300,20.00000,2.227
Kepler-11,b,613.00,8.133360,76.161295,0.091000,0.003000,-0.003000,4.30000,1.970
Kepler-11,c,613.00,8.133360,76.161295,0.106000,0.004000,-0.004000,13.50000,3.150
Kepler-11,d,613.00,8.133360,76.161295,0.159000,0.005000,-0.005000,6.10000,3.430
Kepler-11,e,613.00,8.133360,76.161295,0.194000,0.007000,-0.007000,8.40000,4.520
Kepler-11,f,613.00,8.133360,76.161295,0.250000,0.009000,-0.009000,2.30000,2.610
Kepler-11,g,613.00,8.133360,76.161295,0.462000,0.016000,-0.016000,300.00000,3.660
Kepler-12,b,600.00,18.407464,80.423384,0.055600,0.000700,-0.000700,137.00000,18.999
Kepler-14,b,600.00,16.516947,78.152825,,,,2669.66000,12.733
Kepler-15,b,,12.152630,82.303656,0.057140,0.000860,-0.000930,209.75900,10.761
Kepler-16,b,61.00,17.366238,82.785564,0.704800,0.001100,-0.001100,105.80000,8.449
Kepler-17,b,,10.241738,81.824926,0.025910,0.000370,-0.000360,778.65100,14.706
Kepler-18,b,,8.920195,79.007432,0.044700,0.000600,-0.000600,6.90000,2.000
Kepler-18,c,,8.920195,79.007432,0.075200,0.001100,-0.001100,17.30000,5.490
Kepler-18,d,,8.920195,79.007432,0.117200,0.001700,-0.001700,16.40000,6.980
Kepler-19,b,2119.00,10.797104,70.102377,,,,14.00000,2.209
Kepler-20,b,290.00,14.573594,73.377020,0.045370,0.000540,-0.000600,8.70000,1.910
Kepler-20,c,290.00,14.573594,73.377020,0.093000,0.001100,-0.001100,16.10000,3.070
Kepler-20,d,290.00,14.573594,73.377020,0.345300,0.004100,-0.004600,20.10000,2.750
Kepler-20,e,290.00,14.573594,73.377020,,,,3.08000,0.868
Kepler-20,f,290.00,14.573594,73.377020,,,,14.30000,1.030
Kepler-21,b,107.88,13.336874,69.856227,0.042507,0.000098,-0.000119,10.40000,1.635
Kepler-22,b,190.00,15.792364,79.091866,0.849000,0.018000,-0.017000,,2.380
Kepler-23,b,800.00,13.458059,82.013654,0.075000,,,250.00000,1.900
Kepler-23,c,800.00,13.458059,82.013654,0.099000,,,858.00000,3.200
Kepler-24,b,1200.00,11.018412,70.549869,0.080000,,,509.00000,2.400
Kepler-24,c,1200.00,11.018412,70.549869,0.106000,,,509.00000,2.400
Kepler-25,b,,14.164116,70.349654,0.068000,,,4036.00000,2.600
Kepler-25,c,,14.164116,70.349654,0.110000,,,1322.00000,4.500
Kepler-26,b,,17.992986,76.680019,0.085000,,,120.80000,3.600
Kepler-26,c,,17.992986,76.680019,0.107000,,,119.20000,3.600
Kepler-27,b,,10.974464,73.687041,0.118000,,,2895.00000,4.000
Kepler-27,c,,10.974464,73.687041,0.191000,,,4386.00000,4.900
Kepler-28,b,,11.638758,74.880406,0.062000,,,479.90000,3.600
Kepler-28,c,,11.638758,74.880406,0.081000,,,432.20000,3.400
Kepler-29,b,1400.00,10.110383,81.522546,0.090000,,,130.00000,3.600
Kepler-29,c,1400.00,10.110383,81.522546,0.110000,,,95.00000,2.900
Kepler-30,b,1400.00,14.913405,69.407080,0.180000,,,64.00000,3.700
Kepler-30,c,1400.00,14.913405,69.407080,0.300000,,,2890.00000,14.400
Kepler-30,d,1400.00,14.913405,69.407080,0.500000,,,5403.00000,10.700
Kepler-31,b,2100.00,11.957206,78.626968,0.160000,,,,4.300
Kepler-31,c,2100.00,11.957206,78.626968,0.260000,,,1490.00000,4.200
Kepler-32,b,280.00,9.962307,80.539109,0.050000,,,1300.00000,4.100
Kepler-32,c,280.00,9.962307,80.539109,0.090000,,,160.00000,3.700
Kepler-33,b,,15.134208,77.262828,0.067700,0.001400,-0.001400,,1.740
Kepler-33,c,,15.134208,77.262828,0.118900,0.002500,-0.002500,,3.200
Kepler-33,d,,15.134208,77.262828,0.166200,0.003500,-0.003500,,5.350
Kepler-33,e,,15.134208,77.262828,0.213800,0.004500,-0.004500,,4.020
Kepler-33,f,,15.134208,77.262828,0.253500,0.005400,-0.005400,,4.460
Kepler-34,b,1499.00,9.890152,78.338673,1.089600,0.000900,-0.000900,69.92000,8.564
Kepler-35,b,1645.00,12.043345,79.541348,0.603470,0.001010,-0.001030,40.36000,8.160
Kepler-4,b,550.00,18.818498,80.370077,0.045600,0.000900,-0.000900,24.47190,4.002
Kepler-5,b,,7.742768,78.866355,0.050640,0.000700,-0.000700,671.86400,16.040
Kepler-6,b,,11.359476,81.692659,0.045670,0.000550,-0.000460,212.61900,14.829
Kepler-7,b,,13.462905,72.477827,0.062240,0.001090,-0.000840,137.61500,16.567
Kepler-8,b,1330.00,19.012843,71.658860,0.048300,0.000600,-0.001200,191.64300,15.905
Kepler-9,b,650.00,14.489877,68.980138,0.140000,0.001000,-0.001000,80.08980,9.438
Kepler-9,c,650.00,14.489877,68.980138,0.225000,0.001000,-0.001000,54.34660,9.225
Kepler-9,d,650.00,14.489877,68.980138,0.027300,0.000420,-0.000430,,1.640
KIC 10905746,b,,19.451017,78.169113,0.075100,0.001400,-0.001400,,2.650
KIC 6185331,b,,16.613104,71.587006,0.267200,0.003600,-0.003600,,8.050
KOI-135,b,,17.836659,76.856908,0.044900,0.001000,-0.001000,1027.00000,13.450
KOI-196,b,,11.711501,78.902009,0.029000,0.001000,-0.001000,155.73000,9.427
KOI-204,b,,8.200931,80.619822,0.045500,0.001300,-0.001300,324.20000,13.900
KIC 5794240,b,,10.536433,73.887154,,,,160.49700,10.761
KIC 9478990,b,,10.234081,79.759575,0.155000,0.003000,-0.003000,5720.70000,13.675
KOI-428,b,,11.035147,81.044764,0.080000,0.003000,-0.003000,699.19700,13.114
KIC 5807616,b,,8.231240,75.161149,0.006000,,,0.44000,0.759
KIC 5807616,c,,8.231240,75.161149,0.007600,,,0.65500,0.867
KOI-961,b,,12.548085,76.918760,0.011600,,,,0.780
KOI-961,c,,12.548085,76.918760,0.006000,,,,0.730
KOI-961,d,,12.548085,76.918760,0.015400,,,,0.570
ksi Aql,b,62.66,-9.854721,47.812817,0.680000,,,889.88651,
LKCA 15,b,,-15.981634,176.689700,,,,1906.90000,
Lupus-TR-3,b,,10.951003,331.367213,0.046400,0.000700,-0.000700,257.43145,9.976
MOA-2007-BLG-192-L,b,,-3.387593,4.030846,,,,3.17817,
MOA-2007-BLG-400-L,b,,-4.700741,2.381269,,,,286.03495,
MOA-2008-BLG-310-L,b,,-4.562487,355.914434,,,,73.09782,
MOA-2009-BLG-266-L,b,,-3.580897,355.069932,,,,10.39260,
MOA-2009-BLG-319-L,b,,-3.014318,4.202203,,,,49.89720,
MOA-2009-BLG-387-L,b,,-4.096243,356.556406,,,,826.32300,
NGC 2423 3,b,,3.531344,230.520593,2.100000,,,3368.85608,
NGC 4349 No 127,b,,0.831085,299.718038,2.380000,,,6292.76890,
NN Ser (ab),c,,45.338912,23.652960,5.380000,0.200000,-0.200000,2196.11000,
NN Ser (ab),d,,45.338912,23.652960,3.390000,0.100000,-0.100000,724.62200,
HIP 88048,b,46.84,6.974494,18.167894,,,,7087.31000,
HIP 88048,c,46.84,6.974494,18.167894,,,,7786.51000,
NY Vir,b,,58.687773,326.172401,3.300000,,,730.97800,
OGLE-05-071L,b,,-3.786345,355.580141,,,,1207.70300,
OGLE-05-169L,b,,-4.739985,0.676832,,,,12.71266,
OGLE-05-390L,b,,-2.361536,359.732499,,,,5.40288,
OGLE-06-109L,b,,-1.889969,359.791319,,,,225.64979,
OGLE-06-109L,c,,-1.889969,359.791319,,,,85.81048,
OGLE-2007-BLG-368L,b,,-3.686006,358.348728,,,,22.05647,
OGLE235-MOA53,b,,-2.931153,1.773047,,,,826.32319,
OGLE2-TR-L9,b,,-0.742524,290.771358,0.030800,0.000500,-0.000500,1430.17500,18.046
OGLE-TR-10,b,,-1.576495,359.851525,0.041620,0.000040,-0.000040,193.86800,13.675
OGLE-TR-111,b,,-1.705527,289.279347,0.047000,0.001000,-0.001000,168.44280,11.960
OGLE-TR-113,b,,-1.789452,289.201702,0.022900,0.000200,-0.000200,419.51793,12.218
OGLE-TR-132,b,,-2.342921,289.234899,0.030600,0.000800,-0.000800,362.31094,13.227
OGLE-TR-182,b,,-0.630581,290.906734,0.051000,0.001000,-0.001000,320.99500,12.666
OGLE-TR-211,b,,-3.345112,288.399431,0.051000,0.001000,-0.001000,327.35111,15.244
OGLE-TR-56,b,,-2.365322,0.705194,0.022500,0.000400,-0.000400,409.98343,14.572
Oph 11,b,,17.803217,352.678580,,,,6674.15000,
PSR 1257+12,b,,75.413648,311.309690,0.190000,,,0.02225,
PSR 1257+12,c,,75.413648,311.309690,0.360000,,,4.13162,
PSR 1257+12,d,,75.413648,311.309690,0.460000,,,3.81380,
PSR B1620-26,b,,15.960031,350.976229,23.000000,,,794.54153,
Qatar-1,b,,16.424325,98.718848,0.023430,0.000260,-0.000250,346.42000,13.047
Qatar-2,b,,53.167697,327.956857,0.021490,0.000360,-0.000360,790.41000,12.823
rho CrB,b,17.43,48.923598,53.488729,0.220000,,,330.52928,
HIP 63510,c,11.43,75.085959,311.825376,1168.000000,,,1997.59000,13.675
SR 12 AB,c,,16.564993,352.979938,,,,4131.62000,
SWEEPS-04,b,,-2.626045,1.260039,0.055000,,,1200.00000,9.100
SWEEPS-11,b,,-2.656085,1.266725,0.030000,,,3100.00000,12.700
tau Boo,b,15.60,73.888976,358.936643,0.046000,,,1239.48478,
TrES-1,b,,13.440850,67.464444,0.039250,0.000560,-0.000600,239.00000,11.960
TrES-2,b,,17.808015,79.848583,0.035560,0.000750,-0.000750,381.10000,14.260
TrES-3,b,,27.289699,63.340111,0.022720,0.000170,-0.000260,615.90000,14.710
TrES-4,b,,26.993548,63.038806,0.050910,0.000710,-0.000710,292.00000,20.170
TrES-5,b,,12.742307,94.119004,0.024460,0.000680,-0.000680,565.07800,13.552
ups And,b,13.47,-20.666090,132.000907,0.059222,0.000000,-0.000000,218.53100,
ups And,c,13.47,-20.666090,132.000907,0.827774,0.000015,-0.000015,629.59500,
ups And,d,13.47,-20.666090,132.000907,2.513290,0.000750,-0.000750,1313.22000,
ups And,e,13.47,-20.666090,132.000907,5.245580,0.000670,-0.000670,336.56800,
UScoCTIO 108,b,,24.538893,354.469771,,,,4449.43255,
V391 Peg,b,,-23.029833,82.485828,1.700000,0.100000,-0.100000,1017.01316,
WASP-10,b,,-27.143928,100.111899,0.037810,0.001470,-0.000670,1000.00000,12.110
WASP-11/HAT-P-10,b,,-23.462612,155.018224,0.043900,0.000600,-0.000900,146.19564,11.713
